county,project_name,sector,sub_sector,fy,budget_allocated_kes,amount_spent_kes,status,planned_start_date,planned_end_date,report_date,latitude,longitude,source
Nairobi,Construction of Kasarani Water Pipeline,Water,Water Infrastructure,2024/2025,85393632,63226797,Completed,2024-05-31,2025-04-19,2025-12-10,-1.481814,36.67328,SYNTHETIC_COB_DATA
Nairobi,Expansion of Makadara Water Supply Scheme,Water,Water Infrastructure,2023/2024,29015873,26783806,Completed,2023-08-18,2024-02-29,2025-10-14,-1.509486,36.858351,SYNTHETIC_COB_DATA
Nairobi,Grading and Murraming of Kasarani Road,Transport,Road Works,2023/2024,217605400,80928311,Ongoing,2024-08-07,2026-08-06,2024-01-19,-1.28022,36.922901,SYNTHETIC_COB_DATA
Nairobi,Periodic Maintenance of Mathare Road Section,Transport,Road Works,2023/2024,142056990,136061027,Completed,2024-01-18,2025-12-13,2025-01-27,-1.206542,36.695318,SYNTHETIC_COB_DATA
Nairobi,Construction of Embakasi Footbridge,Transport,Road Works,2024/2025,330648771,195272351,Stalled,2024-08-05,2025-01-01,2025-12-10,-1.382261,36.864901,SYNTHETIC_COB_DATA
Nairobi,Upgrading of Makadara Urban Road,Transport,Road Works,2024/2025,342363767,78140340,Stalled,2024-08-14,2026-02-09,2025-01-23,-1.123646,36.687288,SYNTHETIC_COB_DATA
Nairobi,Rehabilitation of Mathare Borehole,Water,Water Infrastructure,2023/2024,105377385,27717701,Stalled,2024-03-11,2024-07-12,2025-10-04,-1.415867,36.987635,SYNTHETIC_COB_DATA
Nairobi,Grading and Murraming of Langata Road,Transport,Road Works,2023/2024,72614204,14330381,Stalled,2024-09-18,2025-03-26,2024-11-27,-1.489606,36.834117,SYNTHETIC_COB_DATA
Nairobi,Construction of Embakasi Footbridge,Transport,Road Works,2024/2025,148459401,30976318,Stalled,2023-08-29,2025-07-24,2024-06-26,-1.268334,36.802632,SYNTHETIC_COB_DATA
Nairobi,Expansion of Westlands Water Supply Scheme,Water,Water Infrastructure,2024/2025,288875942,278839777,Completed,2023-07-20,2025-12-17,2024-03-12,-1.258521,36.981191,SYNTHETIC_COB_DATA
Nairobi,Grading and Murraming of Ruaraka Road,Transport,Road Works,2023/2024,267903125,205545775,Ongoing,2024-11-24,2026-11-25,2025-03-19,-1.254407,36.796439,SYNTHETIC_COB_DATA
Nairobi,Supply and Installation of Medical Equipment at Westlands,Health,Health Facilities,2023/2024,109472799,40852748,Ongoing,2024-07-08,2026-06-26,2024-10-10,-1.157423,36.60643,SYNTHETIC_COB_DATA
Nairobi,Construction of Ruaraka Footbridge,Transport,Road Works,2024/2025,217566027,58161648,Stalled,2024-04-29,2025-11-28,2024-11-03,-1.082903,36.844576,SYNTHETIC_COB_DATA
Nairobi,Periodic Maintenance of Makadara Road Section,Transport,Road Works,2024/2025,327816471,276171559,Completed,2024-11-16,2025-12-21,2025-09-01,-1.11693,36.856644,SYNTHETIC_COB_DATA
Nairobi,Upgrading of Kasarani Sub-County Hospital,Health,Health Facilities,2023/2024,257268215,33464134,Ongoing,2024-09-26,2026-03-16,2024-11-09,-1.292382,36.861844,SYNTHETIC_COB_DATA
Nairobi,Construction of Embakasi Water Pipeline,Water,Water Infrastructure,2023/2024,263426985,235507969,Ongoing,2024-10-06,2027-02-27,2025-07-14,-1.180164,36.864675,SYNTHETIC_COB_DATA
Nairobi,Construction of Embakasi Water Storage Tank,Water,Water Infrastructure,2023/2024,34169305,33799769,Completed,2024-05-09,2025-07-07,2025-06-20,-1.342257,36.677975,SYNTHETIC_COB_DATA
Nairobi,Construction of Dagoretti Classroom Block,Education,School Infrastructure,2023/2024,248875085,208064711,Ongoing,2024-08-27,2026-11-26,2024-03-24,-1.089269,37.020002,SYNTHETIC_COB_DATA
Nairobi,Upgrading of Kibera Sub-County Hospital,Health,Health Facilities,2024/2025,175029946,62747710,Ongoing,2023-11-17,2024-07-20,2025-10-28,-1.378032,36.896997,SYNTHETIC_COB_DATA
Nairobi,Grading and Murraming of Dagoretti Road,Transport,Road Works,2024/2025,127674950,107331167,Completed,2024-09-06,2025-12-05,2024-05-13,-1.388038,37.042714,SYNTHETIC_COB_DATA
